[TRAIN] Step     1/10000 | Loss: 10.9509 | LR: 0.000000 | dt: 12333.05ms | tok/sec:   83.03
[TRAIN] Step     2/10000 | Loss: 10.9116 | LR: 0.000001 | dt: 697.94ms | tok/sec: 1467.18
[TRAIN] Step     3/10000 | Loss: 10.9268 | LR: 0.000002 | dt: 711.84ms | tok/sec: 1438.52
[TRAIN] Step     4/10000 | Loss: 10.9091 | LR: 0.000002 | dt: 703.67ms | tok/sec: 1455.24
[TRAIN] Step     5/10000 | Loss: 10.9103 | LR: 0.000003 | dt: 701.25ms | tok/sec: 1460.26
[TRAIN] Step     6/10000 | Loss: 10.8708 | LR: 0.000003 | dt: 683.14ms | tok/sec: 1498.97
[TRAIN] Step     7/10000 | Loss: 10.9066 | LR: 0.000003 | dt: 679.99ms | tok/sec: 1505.91
[TRAIN] Step     8/10000 | Loss: 10.8951 | LR: 0.000004 | dt: 675.23ms | tok/sec: 1516.52
[TRAIN] Step     9/10000 | Loss: 10.8912 | LR: 0.000005 | dt: 683.97ms | tok/sec: 1497.14
[TRAIN] Step    10/10000 | Loss: 10.8856 | LR: 0.000005 | dt: 676.27ms | tok/sec: 1514.20
[TRAIN] Step    11/10000 | Loss: 10.8938 | LR: 0.000005 | dt: 689.58ms | tok/sec: 1484.97
[TRAIN] Step    12/10000 | Loss: 10.8557 | LR: 0.000006 | dt: 741.23ms | tok/sec: 1381.48
[TRAIN] Step    13/10000 | Loss: 10.8449 | LR: 0.000007 | dt: 684.30ms | tok/sec: 1496.42
[TRAIN] Step    14/10000 | Loss: 10.8492 | LR: 0.000007 | dt: 681.81ms | tok/sec: 1501.88
[TRAIN] Step    15/10000 | Loss: 10.9066 | LR: 0.000007 | dt: 688.24ms | tok/sec: 1487.85
[TRAIN] Step    16/10000 | Loss: 10.8513 | LR: 0.000008 | dt: 685.51ms | tok/sec: 1493.78
[TRAIN] Step    17/10000 | Loss: 10.8717 | LR: 0.000008 | dt: 680.16ms | tok/sec: 1505.53
[TRAIN] Step    18/10000 | Loss: 10.8589 | LR: 0.000009 | dt: 686.61ms | tok/sec: 1491.38
[TRAIN] Step    19/10000 | Loss: 10.8639 | LR: 0.000010 | dt: 673.27ms | tok/sec: 1520.94
[TRAIN] Step    20/10000 | Loss: 10.8079 | LR: 0.000010 | dt: 702.87ms | tok/sec: 1456.88
[TRAIN] Step    21/10000 | Loss: 10.7255 | LR: 0.000011 | dt: 722.17ms | tok/sec: 1417.96
[TRAIN] Step    22/10000 | Loss: 10.7860 | LR: 0.000011 | dt: 718.99ms | tok/sec: 1424.22
[TRAIN] Step    23/10000 | Loss: 10.7570 | LR: 0.000012 | dt: 716.54ms | tok/sec: 1429.10
[TRAIN] Step    24/10000 | Loss: 10.6758 | LR: 0.000012 | dt: 727.32ms | tok/sec: 1407.90
[TRAIN] Step    25/10000 | Loss: 10.6416 | LR: 0.000013 | dt: 694.29ms | tok/sec: 1474.89
[TRAIN] Step    26/10000 | Loss: 10.6810 | LR: 0.000013 | dt: 689.53ms | tok/sec: 1485.06
[TRAIN] Step    27/10000 | Loss: 10.7102 | LR: 0.000013 | dt: 695.32ms | tok/sec: 1472.70
[TRAIN] Step    28/10000 | Loss: 10.5287 | LR: 0.000014 | dt: 691.94ms | tok/sec: 1479.89
[TRAIN] Step    29/10000 | Loss: 10.6652 | LR: 0.000015 | dt: 691.08ms | tok/sec: 1481.73
[TRAIN] Step    30/10000 | Loss: 10.6659 | LR: 0.000015 | dt: 982.20ms | tok/sec: 1042.55
[TRAIN] Step    31/10000 | Loss: 10.6160 | LR: 0.000016 | dt: 696.03ms | tok/sec: 1471.20
[TRAIN] Step    32/10000 | Loss: 10.6620 | LR: 0.000016 | dt: 690.71ms | tok/sec: 1482.54
[TRAIN] Step    33/10000 | Loss: 10.6577 | LR: 0.000017 | dt: 695.37ms | tok/sec: 1472.59
